"ID","Macro_Requirement","Legal_Basis","Sub_Requirement_Label","Control_Objective","Assessment_Mode","Target","Standards_Grounding","Grounding_Tier_Flag","Notes"
"R1.1","R1 Human Agency and Oversight","AI Act Art. 14","Operator oversight capability","A qualified operator can monitor, interpret, intervene in, override and halt the system throughout its operation, supported by documented procedures and interfaces.","Control","G, S","ISO/IEC 42001 Ann. A.9","Tier 3",""
"R1.2","R1 Human Agency and Oversight","AI Act Art. 14","Governance of oversight roles","Oversight roles, responsibilities and competences are formally assigned, documented and communicated.","Control","G","ISO/IEC 42001 Ann. A.3; Sec. 5.3","Tier 3",""
"R1.3","R1 Human Agency and Oversight","AI Act Art. 14","Stop / fallback mechanism","The system can be halted or control transferred to a human, and that mechanism functions under fault conditions.","Test","C, S","ISO/IEC 42001 Ann. A.9; ISO/IEC 23894 Sec. 6.5","Tier 3",""
"R1.4","R1 Human Agency and Oversight","AI Act Art. 14","Logged oversight actions","Oversight actions - interventions, overrides and halts - are recorded in tamper-evident logs reviewable by authorised personnel.","Control","G, S","prEN ISO/IEC 24970; ISO/IEC 42001 Sec. 9.1","Tier 6 (draft) + Tier 3","Grounding provisional pending publication of the logging standard."
"R2.1","R2 Technical Robustness and Safety","AI Act Art. 15","Robustness specification and testing","Perturbation types, magnitudes and acceptance thresholds relevant to the intended use are documented and justified before testing, and measured performance degradation stays within them.","Control + Test","G, M / M","ISO/IEC TR 24029-1; ISO/IEC 24029-2; ISO/IEC 23894 Sec. 6.4","Tier 5 + Tier 3","Paired: thresholds must be documented before the test is run."
"R2.2","R2 Technical Robustness and Safety","AI Act Art. 15","Drift monitoring","Distributional shift in operational inputs and outputs is detected against documented metrics and thresholds, and threshold breaches trigger the documented escalation.","Control + Test","G / D, S","ISO/IEC 42001 Sec. 9.1; prEN ISO/IEC 24970","Tier 3 + Tier 6 (draft)",""
"R2.3","R2 Technical Robustness and Safety","AI Act Art. 15","Cybersecurity","The AI product is covered by an information security management system with documented risk assessment, controls and treatment.","Control","G, S","ISO/IEC 27001; ISO/IEC 27005","Tier 3","GAP: organisational control only. Art. 15(5) names data poisoning, model poisoning, adversarial examples and confidentiality attacks; no AI-specific security test is specified. Consider adding adversarial testing as a local extension."
"R2.4","R2 Technical Robustness and Safety","AI Act Art. 15","Incident handling","A documented incident-handling process covers detection, response, recovery and lessons learned.","Control","G","ISO/IEC 27035-1; ISO/IEC 42001 Sec. 10","Tier 3",""
"R2.5","R2 Technical Robustness and Safety","AI Act Art. 15","Calibration","Model confidence scores are calibrated against a documented method and acceptance criteria, evidenced on a held-out set representative of operational conditions.","Control + Test","G, M / M","ISO/IEC 25059; ISO/IEC 23894 Sec. 6.4","Tier 3",""
"R2.6","R2 Technical Robustness and Safety","AI Act Art. 15","Fail-safe","Fail-safe modes, triggering conditions and transition latencies are documented, and the system transitions to the documented safe state within the specified latency under injected faults.","Control + Test","G, C, S / C, S","ISO/IEC 42001 Ann. A.9; ISO/IEC 27001","Tier 3",""
"R3.1","R3 Privacy and Data Governance","AI Act Art. 10","Dataset quality assessment","Training, validation and testing datasets meet documented criteria for accuracy, completeness, consistency, timeliness and representativeness.","Test","D","ISO/IEC 5259-2; ISO 8000-8","Tier 3",""
"R3.2","R3 Privacy and Data Governance","AI Act Art. 10","Data governance procedures","Documented procedures govern data collection, labelling, cleaning and access management, and are demonstrably followed.","Control","G, D","ISO/IEC 42001 Sec. 7.5, Ann. A.7; ISO/IEC 5259-3","Tier 3",""
"R3.3","R3 Privacy and Data Governance","GDPR Arts. 5(1)(b), 6","Lawful processing","Where personal data is processed, a documented lawful basis exists and processing is confined to the specified purpose.","Control","G, D","GDPR Art. 5(1)(b); Art. 6","Binding (non-ISO)",""
"R3.4","R3 Privacy and Data Governance","GDPR Art. 25","Data protection by design","Pseudonymisation, minimisation and access controls are implemented from the design stage, and only authorised roles access personal data in operation.","Control + Test","G, D / D, C","GDPR Art. 25; ISO/IEC 27701; ISO/IEC 29134","Binding + Tier 3","Paired: control tests existence of design measures, test verifies operational effectiveness."
"R3.5","R3 Privacy and Data Governance","GDPR Art. 32","Security of processing","Personal data is encrypted at rest and in transit, with access controls and logging demonstrably effective.","Test","D, C, S","GDPR Art. 32; ISO/IEC 27001; ISO/IEC 27005","Binding + Tier 3",""
"R3.6","R3 Privacy and Data Governance","AI Act Art. 10","Data lineage and versioning","Dataset versions, transformations and lineage are tracked such that any dataset state used in training, validation or testing can be reproduced.","Control","G, D","ISO/IEC 42001 Sec. 7.5, 8.3; ISO/IEC 5259-4","Tier 3",""
"R4.1","R4 Transparency","AI Act Art. 13","Instructions for use","Instructions for use document the intended purpose, capabilities, limitations, performance characteristics and required human oversight.","Control","G, S","ISO/IEC 22989; ISO/IEC 42001 Sec. 7.5","Tier 3",""
"R4.2","R4 Transparency","AI Act Art. 13","Model documentation","Structured documentation covers training data, methods, performance metrics and known limitations.","Control","G, M","ISO/IEC 42001 Sec. 7.5, Ann. A.6.2; ISO/IEC 23894 Sec. 6.3","Tier 3",""
"R4.3","R4 Transparency","AI Act Art. 13","Explainability of outputs","The system produces output-level explanations consistent with documented explainability techniques.","Test","M, S","ISO/IEC TS 6254; ISO/IEC 25059","Tier 4 + Tier 3",""
"R4.4","R4 Transparency","AI Act Art. 50","Disclosure of AI use (conditional)","Where Article 50 applies, persons are informed that they are interacting with an AI system or that content is AI-generated.","Control","G, S","AI Act Art. 50(1)-(4)","Binding","CONDITIONAL: applies only to direct interaction with natural persons, emotion recognition, biometric categorisation, deepfakes and AI-generated public-interest text. Not applicable to all high-risk systems by default."
"R5.1","R5 Fairness","AI Act Art. 10(2)(f)-(g)","Bias identification in data","Datasets are analysed for representational and measurement bias, with protected attributes or relevant subgroups, metrics and findings documented.","Test","D","ISO/IEC TR 24027; ISO/IEC 5259-2","Tier 5 + Tier 3","TR 24027 is informative: no prescribed metrics or thresholds."
"R5.2","R5 Fairness","AI Act Art. 10(2)(f)-(g); Art. 9","Bias in model outputs","Model performance is disaggregated by relevant subgroups using documented fairness metrics, and subgroups falling below documented thresholds are flagged.","Test","M","ISO/IEC TR 24027; ISO/IEC 25059","Tier 5 + Tier 3","Metric selection is left to the provider. Procedural accountability only: an assessor can verify the choice was documented and justified, not that it was adequate."
"R5.3","R5 Fairness","AI Act Art. 10(2)(f)-(g); Art. 9","Bias mitigation procedures","Documented procedures address identified biases at data, model and post-deployment level, with mitigation actions traced to specific findings from R5.1 and R5.2.","Control","G, D, M","ISO/IEC 42001 Ann. A.6.2, A.7; ISO/IEC TR 24027","Tier 3 + Tier 5",""
"R6.1","R6 Societal and Environmental Well-being","Recitals 27, 67; Art. 95(2)(b)","Impact assessment (voluntary scope)","Where the provider has committed to addressing societal and environmental impacts, those impacts are documented within the AI management system.","Control","G","ISO/IEC 42001 Ann. A.5; ISO/IEC 23894 Sec. 6.3","Tier 3","VOLUNTARY: no dedicated operative article. Art. 9(2)(a) limits risk management to health, safety and fundamental rights; environmental risk is not enumerated. Exclude from a mandatory register or tag as non-binding."
"R6.2","R6 Societal and Environmental Well-being","Art. 95(2)(b)","Resource use monitoring (voluntary scope)","Where committed, computational resource consumption associated with the AI product is monitored.","Test","C, S","ISO/IEC 42001 Ann. A.5, Sec. 9.1","Tier 3","VOLUNTARY: grounded in Art. 95 codes of conduct only."
"R7.1","R7 Accountability","AI Act Arts. 16, 17, 26","Role and responsibility assignment","Roles, responsibilities and authorities for AI activities are documented and communicated.","Control","G","ISO/IEC 42001 Sec. 5.3, Ann. A.4; ISO 9001 Sec. 5.3","Tier 3",""
"R7.2","R7 Accountability","AI Act Arts. 16, 17, 26","Auditability via logs","Retained, tamper-evident logs are sufficient to reconstruct relevant system operations.","Control","G, S","prEN ISO/IEC 24970; ISO/IEC 42001 Sec. 9.1","Tier 6 (draft) + Tier 3",""
"R7.3","R7 Accountability","AI Act Arts. 16, 17, 26","Demonstrability of compliance","Controlled, versioned documentation enables an audit to reconstruct compliance evidence.","Control","G","ISO/IEC 42001 Sec. 7.5, 9.2, 9.3; ISO 9001 Sec. 7.5","Tier 3",""
"R8.1","R8 Quality Management","AI Act Art. 17","Quality policy and objectives","A documented AI quality policy with measurable objectives is approved by top management.","Control","G","ISO/IEC 42001 Sec. 5.2, 6.2; ISO 9001 Sec. 5.2, 6.2; prEN 18286","Tier 3 + Tier 6 (draft)","prEN 18286 is the future Tier 1 instrument for Art. 17; at public enquiry stage."
"R8.2","R8 Quality Management","AI Act Art. 17","Controlled QMS documentation","QMS documentation is controlled and versioned across all lifecycle activities.","Control","G","ISO/IEC 42001 Sec. 7.5; ISO 9001 Sec. 7.5; prEN 18286","Tier 3 + Tier 6 (draft)",""
"R8.3","R8 Quality Management","AI Act Art. 17","Internal audits","Internal audits are planned, executed and recorded, with non-conformities tracked through to closure.","Control","G","ISO/IEC 42001 Sec. 9.2; ISO 9001 Sec. 9.2","Tier 3",""
"R8.4","R8 Quality Management","AI Act Art. 17","Management review and improvement","Management reviews are conducted, documented, and drive improvement actions.","Control","G","ISO/IEC 42001 Sec. 9.3, 10; ISO 9001 Sec. 9.3, 10","Tier 3",""
"R9.1","R9 Risk Management","AI Act Art. 9","System definition","The intended purpose, scope and context of use are documented as the basis for risk management.","Control","G","ISO/IEC 42001 Sec. 4.3, 6.1.2; ISO/IEC 23894 Sec. 6.3; ISO/IEC 22989","Tier 3",""
"R9.2","R9 Risk Management","AI Act Arts. 6, 9","Risk identification","Risks to health, safety and fundamental rights are systematically identified across the lifecycle - data, model, integration and deployment - and the Art. 6 / Annex III classification step is documented.","Control","G","ISO/IEC 23894 Sec. 6.4; ISO 31000; ISO/IEC 31010; ISO/IEC TR 24027","Tier 3 + Tier 5","Risk scope is fixed by Art. 9(2)(a) and does not extend to environmental risk."
"R9.3","R9 Risk Management","AI Act Art. 9","Risk analysis and evaluation","Identified risks are analysed for likelihood and severity and evaluated against documented acceptance criteria.","Control","G","ISO/IEC 23894 Sec. 6.4-6.5; ISO 31000; ISO/IEC 31010","Tier 3",""
"R9.4","R9 Risk Management","AI Act Art. 9","Risk treatment","Risk treatment measures are documented, implemented and traced to the risks they address.","Control","G","ISO/IEC 23894 Sec. 6.5; ISO/IEC 42001 Sec. 8; ISO/IEC 27005","Tier 3",""
"R9.5","R9 Risk Management","AI Act Art. 9(5)","Residual risk acceptability","Residual risks are evaluated against acceptance criteria and formally accepted by an authorised role.","Control","G","ISO/IEC 23894 Sec. 6.5; ISO 31000","Tier 3",""
"R9.6","R9 Risk Management","AI Act Art. 72","Post-market monitoring plan","A documented post-market monitoring plan defines monitoring, logging and reporting activities.","Control","G","ISO/IEC 42001 Sec. 8.4, 9.1; prEN ISO/IEC 24970","Tier 3 + Tier 6 (draft)",""
"R9.7","R9 Risk Management","AI Act Art. 72","Post-market monitoring data collection","Monitoring data is collected, retained and analysed in accordance with the post-market monitoring plan.","Test","S","ISO/IEC 42001 Sec. 9.1; prEN ISO/IEC 24970","Tier 3 + Tier 6 (draft)",""
"R9.8","R9 Risk Management","AI Act Arts. 9, 20","Corrective and preventive action","Non-conformities and incidents trigger documented corrective and preventive actions.","Control","G","ISO/IEC 42001 Sec. 10; ISO 9001 Sec. 10; ISO/IEC 23894 Sec. 6.6","Tier 3",""
"R9.9","R9 Risk Management","AI Act Art. 73","Serious incident reporting","Procedures exist to detect, document and report serious incidents in line with Art. 73 deadlines.","Control","G","ISO/IEC 27035-1; ISO/IEC 42001 Sec. 10","Tier 3",""
